combination_id,community_algorithm,community_resolution,min_pattern_frequency,quality_weight_coverage,quality_weight_redundancy,num_communities,avg_community_size,avg_affinity_score,coverage_ratio,weighted_coverage,redundancy_score,quality_score
1,greedy_modularity,1.2,4.0,0.3,0.6,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.16608986333044304
2,louvain,1.5,4.0,0.3,0.3,11,7.0,0.096560409287682,0.2857142857142857,0.2782608695652174,0.0,0.122102424584638
3,label_propagation,0.5,4.0,0.3,0.6,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.3031801093643199
4,greedy_modularity,0.5,2.0,0.6,0.3,3,25.666666666666668,0.04350732895660433,0.20339805825242718,0.2128151746472357,0.0,0.13203983768400185
5,label_propagation,1.5,4.0,0.6,0.5,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.5968198906356801
6,louvain,0.5,3.0,0.3,0.6,10,7.7,0.028963293650793653,0.9941860465116279,0.9945155393053017,0.0,0.30125099115666987
7,greedy_modularity,0.5,3.0,0.5,0.4,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.19813501077500228
8,louvain,1.0,4.0,0.6,0.5,5,15.4,0.05658460820225526,0.75,0.7478260869565218,0.0,0.4430371913536875
9,label_propagation,1.2,4.0,0.6,0.4,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.6
10,louvain,1.0,3.0,0.3,0.6,5,15.4,0.05926654206833235,0.4418604651162791,0.4515539305301645,0.0,0.14139283336588257
11,louvain,1.5,3.0,0.6,0.4,11,7.0,0.07121350871350872,0.23837209302325582,0.2413162705667276,0.0,0.14478976234003657
12,louvain,2.0,3.0,0.6,0.4,21,3.6666666666666665,0.04272108843537415,0.05813953488372093,0.0603290676416819,0.0,0.03619744058500914
13,label_propagation,1.2,3.0,0.3,0.5,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.3063602187286398
14,greedy_modularity,0.5,4.0,0.3,0.6,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.16608986333044304
15,label_propagation,0.5,3.0,0.3,0.4,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.30954032809295967
16,greedy_modularity,2.0,4.0,0.3,0.5,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.17044059622610347
