combination_id,community_algorithm,community_resolution,min_pattern_frequency,quality_weight_coverage,quality_weight_redundancy,num_communities,avg_community_size,avg_affinity_score,coverage_ratio,weighted_coverage,redundancy_score,quality_score
1,label_propagation,0.8,3,0.6,0.4,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.6
2,label_propagation,0.8,2,0.5,0.6,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.4968198906356801
3,louvain,0.8,4,0.5,0.5,5,15.4,0.05138396496291233,0.75,0.7478260869565218,0.0,0.3739130434782609
4,louvain,1.5,2,0.6,0.3,10,7.7,0.07082545232545231,0.10339805825242719,0.11103400416377515,0.0,0.07370294773081032
5,louvain,1.2,4,0.3,0.5,6,12.833333333333334,0.06192816442816442,0.5357142857142857,0.5304347826086957,0.0,0.1715160676682416
6,louvain,1.0,3,0.6,0.4,4,19.25,0.05265397066383909,0.45930232558139533,0.4680073126142596,0.0,0.28080438756855575
7,louvain,1.0,2,0.6,0.4,6,12.833333333333334,0.06365754128912023,0.1786407766990291,0.1878325237103863,0.0,0.11269951422623178
8,label_propagation,0.8,2,0.6,0.5,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.5968198906356801
9,louvain,2.0,2,0.5,0.6,20,3.85,0.053146825396825394,0.03640776699029126,0.03839925977330558,0.0,0.01388494734697025
10,louvain,1.5,3,0.3,0.4,11,7.0,0.054187731460458737,0.22674418604651161,0.22851919561243145,0.0,0.08481207812186704
11,greedy_modularity,1.2,3,0.6,0.6,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.22383966766388935
12,louvain,1.5,3,0.6,0.6,10,7.7,0.08175108225108225,0.1686046511627907,0.1773308957952468,0.0,0.09004832102693162
13,louvain,1.0,3,0.4,0.3,4,19.25,0.0522545948203843,0.4476744186046512,0.45521023765996343,0.0,0.19776047351010068
14,louvain,1.2,3,0.6,0.6,6,12.833333333333334,0.0628140935861524,0.3081395348837209,0.31992687385740404,0.0,0.17939330559721195
15,louvain,1.5,2,0.3,0.5,11,7.0,0.0789033189033189,0.0766990291262136,0.08142493638676845,0.0,0.040208144696694315
16,greedy_modularity,0.5,2,0.5,0.5,3,25.666666666666668,0.04350732895660433,0.20339805825242718,0.2128151746472357,0.0,0.10640758732361785
17,greedy_modularity,2.0,2,0.5,0.5,3,25.666666666666668,0.04350732895660433,0.20339805825242718,0.2128151746472357,0.0,0.10640758732361785
18,greedy_modularity,1.2,4,0.6,0.3,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.3278289937652257
19,louvain,1.2,2,0.3,0.6,6,12.833333333333334,0.06273097273097272,0.2883495145631068,0.2933148276659727,0.0,0.09426754557288909
20,label_propagation,1.2,4,0.6,0.4,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.6
22,louvain,1.5,4,0.5,0.4,10,7.7,0.0700108225108225,0.39285714285714285,0.3826086956521739,0.0,0.19830543007716922
23,label_propagation,1.0,3,0.4,0.4,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.4063602187286398
24,louvain,0.8,4,0.6,0.3,4,19.25,0.05159981654763869,0.5,0.5043478260869565,0.0,0.3077686773069378
25,greedy_modularity,1.0,3,0.3,0.5,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.12497203251892597
26,label_propagation,1.5,2,0.6,0.4,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.6
27,louvain,0.5,3,0.3,0.6,6,12.833333333333334,0.035411255411255414,0.9127906976744186,0.9122486288848263,0.0,0.2772157142065734
28,greedy_modularity,1.0,4,0.6,0.3,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.3278289937652257
29,louvain,1.2,3,0.3,0.4,7,11.0,0.06417413935271078,0.31976744186046513,0.32541133455210236,0.0,0.11687564217144394
30,label_propagation,1.0,4,0.4,0.5,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.4031801093643199
31,louvain,1.5,2,0.6,0.5,10,7.7,0.07851307026307026,0.10242718446601942,0.10918343742771223,0.0,0.05765875543032031
32,greedy_modularity,0.5,3,0.5,0.4,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.19813501077500228
33,greedy_modularity,1.2,3,0.6,0.5,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.22819040055954978
34,louvain,1.2,4,0.4,0.6,6,12.833333333333334,0.06010252410987706,0.5,0.4956521739130435,0.0,0.1982608695652174
35,label_propagation,0.5,3,0.6,0.5,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.5968198906356801
36,label_propagation,1.2,4,0.3,0.6,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.3031801093643199
37,label_propagation,1.0,4,0.6,0.6,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.5936397812713602
38,greedy_modularity,1.5,4,0.3,0.3,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.17914206201742433
