report,element_count,community_count,entropy,opportunity_type,top_communities,impact_score
Report 19,21,3,1.575114591410657,splitting,"{1: 8, 0: 7, 2: 6}",3.30774064196238
Report 12,21,3,1.221694907636328,splitting,"{2: 11, 1: 9, 0: 1}",2.5655593060362887
Report 4,15,3,1.5058231002082845,splitting,"{0: 7, 2: 5, 1: 3}",2.2587346503124266
Report 17,16,3,1.271782221599798,splitting,"{0: 8, 1: 7, 2: 1}",2.034851554559677
Report 20,13,3,1.5262349099495225,splitting,"{0: 6, 2: 4, 1: 3}",1.9841053829343793
Report 8,14,3,1.41379956460568,splitting,"{0: 8, 2: 3, 1: 3}",1.979319390447952
Report 6,12,3,1.5545851693377997,splitting,"{2: 5, 1: 4, 0: 3}",1.8655022032053594
Report 18,14,3,1.2958363892911637,splitting,"{1: 7, 2: 6, 0: 1}",1.814170945007629
Report 5,12,3,1.5,splitting,"{1: 6, 0: 3, 2: 3}",1.8
Report 3,13,3,1.3143204867061788,splitting,"{0: 6, 1: 6, 2: 1}",1.7086166327180325
