,element_count,community_count,primary_community,primary_community_percent,entropy,community_distribution,is_fragmented
Report 1,11,3,3,0.6363636363636364,1.2406705316766884,"{3: 7, 7: 3, 2: 1}",True
Report 10,14,5,2,0.35714285714285715,2.0059777114237742,"{5: 1, 3: 1, 2: 5, 7: 2, 0: 5}",True
Report 11,12,3,2,0.6666666666666666,1.188721875540867,"{2: 8, 5: 3, 3: 1}",True
Report 12,21,4,7,0.38095238095238093,1.7723388509380997,"{3: 6, 7: 8, 2: 6, 5: 1}",True
Report 13,11,4,3,0.5454545454545454,1.6171895725927152,"{3: 6, 1: 3, 2: 1, 5: 1}",True
Report 14,11,4,1,0.36363636363636365,1.867633890971212,"{3: 3, 7: 1, 1: 4, 2: 3}",True
Report 15,17,4,2,0.7058823529411765,1.2772018112022603,"{5: 3, 2: 12, 3: 1, 6: 1}",True
Report 16,25,4,2,0.72,1.2415101887362598,"{6: 4, 2: 18, 3: 1, 7: 2}",True
Report 17,16,4,2,0.375,1.764097655573916,"{5: 3, 2: 6, 3: 6, 7: 1}",True
Report 18,14,5,7,0.2857142857142857,2.270942421748537,"{0: 3, 7: 4, 3: 2, 2: 3, 5: 2}",True
Report 19,21,4,3,0.38095238095238093,1.7849418274376427,"{3: 8, 5: 3, 4: 2, 2: 8}",True
Report 2,11,4,5,0.45454545454545453,1.676737030052133,"{5: 5, 3: 4, 2: 1, 7: 1}",True
Report 20,13,4,3,0.6153846153846154,1.4885252948977485,"{5: 1, 2: 3, 3: 8, 0: 1}",True
Report 3,13,4,3,0.38461538461538464,1.760495029766198,"{3: 5, 2: 5, 5: 2, 0: 1}",True
Report 4,15,3,5,0.5333333333333333,1.456564762130954,"{5: 8, 3: 4, 2: 3}",True
Report 5,12,7,0,0.25,2.688721875540867,"{5: 2, 0: 3, 3: 2, 6: 1, 2: 2, 1: 1, 7: 1}",True
Report 6,12,4,3,0.5,1.6258145836939115,"{5: 1, 3: 6, 2: 4, 7: 1}",True
Report 7,9,3,5,0.5555555555555556,1.3516441151533922,"{3: 3, 5: 5, 7: 1}",True
Report 8,14,2,5,0.7857142857142857,0.74959525725948,"{5: 11, 2: 3}",True
Report 9,14,4,3,0.6428571428571429,1.4838317068446891,"{3: 9, 7: 2, 5: 2, 1: 1}",True
